,Latitude,Longitude,Unique_Squirrel_ID,Shift,Date,Age,Primary_Fur_Color,Location,Specific_Location,Running,Chasing,Climbing,Eating,Foraging,Other_Activities,Kuks,Quaas,Moans,Tail_flags,Tail_twitches,Approaches,Indifferent,Runs_from
0,40.79408239,-73.95613449,37F-PM-1014-03,PM,2018-10-14,,,,,0,0,0,0,0,,0,0,0,0,0,0,0,0
1,40.79485094,-73.95704377,37E-PM-1006-03,PM,2018-10-06,Adult,Gray,Ground Plane,,1,0,0,0,0,,0,0,0,0,0,0,0,1
2,40.76671781,-73.97683118,2E-AM-1010-03,AM,2018-10-10,Adult,Cinnamon,Above Ground,,0,0,1,0,0,,0,0,0,0,0,0,1,0
3,40.76970326,-73.97572498,5D-PM-1018-05,PM,2018-10-18,Juvenile,Gray,Above Ground,,0,0,1,0,0,,0,0,0,0,0,0,0,1
4,40.79753337,-73.95931267,39B-AM-1018-01,AM,2018-10-18,,,Above Ground,,0,0,0,0,0,unknown,1,0,0,0,0,0,0,0
5,40.7902561,-73.95657004,33H-AM-1019-02,AM,2018-10-19,Juvenile,Gray,Ground Plane,,0,0,0,0,0,wrestling with mother,0,0,0,0,0,0,0,0
6,40.76930451,-73.97197356,6G-PM-1020-02,PM,2018-10-20,Adult,Gray,Ground Plane,,1,1,0,0,0,,0,0,0,0,0,0,1,0
7,40.7942883,-73.96026099,35C-PM-1013-03,PM,2018-10-13,,Gray,Ground Plane,,0,0,0,0,1,,0,0,0,0,0,0,0,1
8,40.77297524,-73.97707186,7B-AM-1008-09,AM,2018-10-08,Adult,Gray,Ground Plane,,0,0,0,0,1,,0,0,0,0,0,0,1,0
9,40.79031289,-73.95964139,32E-PM-1017-14,PM,2018-10-17,Adult,Gray,,,0,0,0,1,1,,0,0,0,0,0,0,0,1
10,40.77621269,-73.97026765,13E-AM-1017-05,AM,2018-10-17,Adult,Gray,Above Ground,on tree stump,0,0,0,0,1,,0,0,0,0,0,0,0,0
11,40.77259088,-73.96836135,11H-AM-1010-03,AM,2018-10-10,Adult,Cinnamon,,,0,0,0,0,1,,0,0,0,0,1,0,1,0
12,40.79318117,-73.95412018,36H-AM-1010-02,AM,2018-10-10,Adult,Gray,Ground Plane,,0,0,0,0,1,,0,0,0,0,0,0,0,0
13,40.79173678,-73.95826943,33F-AM-1008-02,AM,2018-10-08,Adult,Gray,Ground Plane,,0,0,0,0,1,,0,0,0,0,0,0,1,0
14,40.78297239,-73.9674286,21C-PM-1006-01,PM,2018-10-06,Adult,Gray,Ground Plane,,0,0,0,0,0,,0,0,0,1,1,0,0,0
15,40.77428796,-73.97225002,11D-AM-1010-03,AM,2018-10-10,Adult,Gray,Above Ground,,0,0,1,0,0,grooming,0,0,0,0,0,0,1,0
16,40.78235077,-73.96950635,20B-PM-1013-05,PM,2018-10-13,Adult,Gray,Ground Plane,,0,0,0,0,1,,0,0,0,0,0,0,1,0
17,40.79196697,-73.95321705,36I-PM-1007-01,PM,2018-10-07,Adult,Gray,Ground Plane,,0,0,0,0,1,,0,0,0,0,0,0,1,0
18,40.77027959,-73.97686036,5C-PM-1010-09,PM,2018-10-10,Adult,Cinnamon,Ground Plane,,1,0,0,0,0,,0,0,0,0,0,0,0,0
19,40.76981248,-73.97061059,7H-AM-1006-05,AM,2018-10-06,Adult,Gray,Above Ground,,0,1,0,0,0,,0,0,0,0,0,0,1,0
20,40.77875261,-73.97037817,16C-PM-1018-03,PM,2018-10-18,Adult,Gray,Above Ground,,1,0,0,1,1,,0,0,0,0,0,0,1,0
21,40.7765032,-73.97039252,14E-AM-1008-23,AM,2018-10-08,Adult,Gray,Ground Plane,,0,0,0,0,1,walking,0,0,0,0,0,0,1,0
22,40.79241733,-73.96381794,32A-PM-1013-03,PM,2018-10-13,Juvenile,Gray,Ground Plane,,0,0,0,1,0,,0,0,0,0,0,0,1,0
23,40.79138125,-73.9584071,33F-AM-1008-01,AM,2018-10-08,Adult,Gray,Ground Plane,,0,0,0,0,0,moving slowly,0,0,0,0,0,0,1,0
24,40.77848597,-73.96711307,17F-AM-1007-07,AM,2018-10-07,Adult,Gray,Above Ground,,1,0,0,0,0,,0,0,0,1,0,0,1,0
25,40.77649297,-73.9649866,16I-AM-1008-01,AM,2018-10-08,Adult,Cinnamon,Ground Plane,,0,0,0,0,1,,0,0,0,0,1,0,1,0
26,40.77349914,-73.96706286,12I-AM-1013-01,AM,2018-10-13,Adult,Cinnamon,Ground Plane,on tree roots,0,0,0,0,0,sitting,0,0,0,0,1,0,0,1
27,40.79085244,-73.95873659,32F-PM-1008-07,PM,2018-10-08,Adult,Gray,Ground Plane,,1,1,0,0,1,,0,0,0,0,0,0,1,0
28,40.78673528,-73.96717867,25A-AM-1013-04,AM,2018-10-13,,Gray,Ground Plane,,0,0,0,0,1,,0,0,0,0,0,0,0,1
29,40.77695361,-73.96929433,15E-AM-1013-01,AM,2018-10-13,Adult,Gray,Ground Plane,,1,0,0,0,1,,0,0,0,0,0,0,0,0
